Date,Year,Month,Quarter,BusRidership,RailRidership,OtherTransitRidership,IsCOVIDPeriod
2015-01-01,2015,1,1,406792856.0,373107679.0,15481236.0,False
2015-02-01,2015,2,1,391716828.0,351242138.0,14776228.0,False
2015-03-01,2015,3,1,445890962.0,421479443.0,17212906.0,False
2015-04-01,2015,4,2,441944313.0,419355087.0,17783008.0,False
2015-05-01,2015,5,2,425134377.0,406499441.0,17543829.0,False
2015-06-01,2015,6,2,415136968.0,422218925.0,18574710.0,False
2015-07-01,2015,7,3,414987604.0,432859298.0,19614863.0,False
2015-08-01,2015,8,3,413682682.0,385317293.0,19077233.0,False
2015-09-01,2015,9,3,443018225.0,413854787.0,18036140.0,False
2015-10-01,2015,10,4,463955116.0,448352817.0,18222215.0,False
2015-11-01,2015,11,4,411420986.0,398861146.0,16026042.0,False
2015-12-01,2015,12,4,406962247.0,405053920.0,16586781.0,False
2016-01-01,2016,1,1,386755389.0,370877899.0,15430528.0,False
2016-02-01,2016,2,1,407901595.0,385782568.0,15881011.0,False
2016-03-01,2016,3,1,439052186.0,426988229.0,17947740.0,False
2016-04-01,2016,4,2,420637828.0,409660770.0,17551284.0,False
2016-05-01,2016,5,2,413648699.0,425163795.0,18088573.0,False
2016-06-01,2016,6,2,398921201.0,426663431.0,18802734.0,False
2016-07-01,2016,7,3,375914623.0,391196457.0,18621062.0,False
2016-08-01,2016,8,3,410037936.0,410797109.0,19893326.0,False
2016-09-01,2016,9,3,427679116.0,414955301.0,18116568.0,False
2016-10-01,2016,10,4,427759202.0,420310003.0,17566523.0,False
2016-11-01,2016,11,4,399448050.0,401096574.0,16496665.0,False
2016-12-01,2016,12,4,376472088.0,392248503.0,15954953.0,False
2017-01-01,2017,1,1,379032287.0,385406234.0,15695383.0,False
2017-02-01,2017,2,1,373246708.0,367315442.0,15160465.0,False
2017-03-01,2017,3,1,415647479.0,430111836.0,17507282.0,False
2017-04-01,2017,4,2,388066756.0,407072908.0,17044306.0,False
2017-05-01,2017,5,2,405517838.0,429163483.0,18539625.0,False
2017-06-01,2017,6,2,381873194.0,419263030.0,18968564.0,False
2017-07-01,2017,7,3,361210003.0,388539014.0,19283551.0,False
2017-08-01,2017,8,3,392451528.0,402576595.0,20389454.0,False
2017-09-01,2017,9,3,398194634.0,407759984.0,17975512.0,False
2017-10-01,2017,10,4,425403015.0,444700375.0,18699035.0,False
2017-11-01,2017,11,4,390921668.0,401710224.0,16992247.0,False
2017-12-01,2017,12,4,357674882.0,378224139.0,15916113.0,False
2018-01-01,2018,1,1,369920847.0,381378921.0,16028440.0,False
2018-02-01,2018,2,1,364782170.0,364857431.0,15483048.0,False
2018-03-01,2018,3,1,393604986.0,408856449.0,17296690.0,False
2018-04-01,2018,4,2,392252372.0,398115089.0,17566326.0,False
2018-05-01,2018,5,2,400194774.0,417646812.0,19092459.0,False
2018-06-01,2018,6,2,373053040.0,409866112.0,19026788.0,False
2018-07-01,2018,7,3,362119816.0,394287833.0,20067600.0,False
2018-08-01,2018,8,3,392397741.0,398554199.0,20691435.0,False
2018-09-01,2018,9,3,385074986.0,392230685.0,17948530.0,False
2018-10-01,2018,10,4,437208668.0,443479335.0,19367600.0,False
2018-11-01,2018,11,4,381708475.0,392683202.0,16951787.0,False
2018-12-01,2018,12,4,356661196.0,369546197.0,16094213.0,False
2019-01-01,2019,1,1,367851089.0,368022820.0,16515635.0,False
2019-02-01,2019,2,1,354692992.0,350068247.0,15136059.0,False
2019-03-01,2019,3,1,390228157.0,403221955.0,17796909.0,False
2019-04-01,2019,4,2,397479345.0,415533810.0,18746430.0,False
2019-05-01,2019,5,2,399640786.0,421141236.0,19596702.0,False
2019-06-01,2019,6,2,362002815.0,398791173.0,19006565.0,False
2019-07-01,2019,7,3,369257081.0,411609150.0,20378395.0,False
2019-08-01,2019,8,3,384027047.0,410170062.0,20593034.0,False
2019-09-01,2019,9,3,396062247.0,410903169.0,18338805.0,False
2019-10-01,2019,10,4,426327140.0,448819797.0,19083744.0,False
2019-11-01,2019,11,4,371791492.0,405041309.0,16328180.0,False
