Date,BusRidership,RailRidership,OtherTransitRidership,DieselPrice,GasolinePrice,HighwayMilesTraveled,HighwayFatalities,FatalityRate,TransitEmployment,TruckEmployment,UnemploymentRate,GDP,HeavyTruckSales,AutoSales,Year,Month,Quarter,IsCOVIDPeriod,EstimatedFuelCostPerMonth,EstimatedCostPerPassenger
2015-01-01,406792856.0,373107679.0,15481236.0,2.997,2.116,,7370.0,1.03,495700.0,1417100.0,0.057,18666621000000.0,30700.0,515400.0,2015,1,1,False,14985.0,3.6836930095940523e-05
2015-02-01,391716828.0,351242138.0,14776228.0,2.858,2.216,,,,492200.0,1417900.0,0.055,,31300.0,558200.0,2015,2,1,False,14290.0,3.6480434279427994e-05
2015-03-01,445890962.0,421479443.0,17212906.0,2.897,2.464,,,,495800.0,1418400.0,0.054,,38000.0,717500.0,2015,3,1,False,14484.999999999998,3.248552052956839e-05
2015-04-01,441944313.0,419355087.0,17783008.0,2.782,2.469,,8823.0,1.08,496600.0,1428900.0,0.054,18782243000000.0,36200.0,646400.0,2015,4,2,False,13910.0,3.147455367300993e-05
2015-05-01,425134377.0,406499441.0,17543829.0,2.888,2.718,,,,501700.0,1451500.0,0.056,,37100.0,748000.0,2015,5,2,False,14440.0,3.396573126336476e-05
2015-06-01,415136968.0,422218925.0,18574710.0,2.873,2.802,,,,477900.0,1474700.0,0.053,,43500.0,661200.0,2015,6,2,False,14365.000000000002,3.460303732815238e-05
2015-07-01,414987604.0,432859298.0,19614863.0,2.788,2.794,,9805.0,1.2,427400.0,1481100.0,0.052,18857418000000.0,40600.0,647900.0,2015,7,3,False,13939.999999999998,3.3591364815803025e-05
2015-08-01,413682682.0,385317293.0,19077233.0,2.595,2.636,,,,427100.0,1480000.0,0.051,,39000.0,670800.0,2015,8,3,False,12975.000000000002,3.136461970627042e-05
2015-09-01,443018225.0,413854787.0,18036140.0,2.505,2.365,,,,497900.0,1475300.0,0.05,,37500.0,599000.0,2015,9,3,False,12525.0,2.8271974589758696e-05
2015-10-01,463955116.0,448352817.0,18222215.0,2.519,2.29,,9486.0,1.21,503600.0,1468400.0,0.05,18892206000000.0,38900.0,599700.0,2015,10,4,False,12595.0,2.714702255810452e-05
2015-11-01,411420986.0,398861146.0,16026042.0,2.467,2.158,,,,501100.0,1463400.0,0.051,,35300.0,529900.0,2015,11,4,False,12335.0,2.998145554004384e-05
2015-12-01,406962247.0,405053920.0,16586781.0,2.31,2.038,,,,502900.0,1455400.0,0.05,,41100.0,634500.0,2015,12,4,False,11550.0,2.838101097864245e-05
2016-01-01,386755389.0,370877899.0,15430528.0,2.143,1.949,,8154.0,1.11,496100.0,1428800.0,0.048,19001690000000.0,31400.0,473100.0,2016,1,1,False,10714.999999999998,2.7704849899324862e-05
2016-02-01,407901595.0,385782568.0,15881011.0,1.998,1.764,,,,496800.0,1424000.0,0.049,,33100.0,555900.0,2016,2,1,False,9990.0,2.449120111923073e-05
